STT,Mã cp,Tên chính thức,Ngành,Từ khóa 
1,AAA,Công ty Cổ phần Nhựa An Phát Xanh,Nhựa,"Nhựa An Phát Xanh, AAA"
2,ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,"ACB, Ngân hàng Á Châu"
3,AGG,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,BĐS,"An Gia Group, AGG"
4,ANV,Công ty Cổ phần Nam Việt,Thủy sản,"ANV, NAVICO, NamViet Corp"
5,ASM,Công ty Cổ phần Tập đoàn Sao Mai,BĐS,"Tập Đoàn Sao Mai, Sao Mai Group, ASM"
6,BCG,Công ty Cổ phần Tập đoàn Bamboo Capital,BĐS,"Bamboo Capital, BCG"
7,BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp,BĐS,"Becamex, BCM"
8,BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng,"BIDV, Ngân hàng BIDV, BID"
9,BMP,Công ty Cổ phần Nhựa Bình Minh,Nhựa,"Nhựa Bình Minh, BMP"
10,BSI,CTCP Chứng khoán BIDV ,Chứng khoán,"Chứng khoán BSC, Chứng khoán BIDV, BSC, BSI"
11,BVH,Tập đoàn Bảo Việt,Bảo hiểm,"BVH, Tập đoàn Bảo Việt, Bảo Việt Holding"
12,BWE,Công ty Cổ phần Nước – Môi trường Bình Dương,Nước,"Biwase, BWE"
13,CII,CTCP Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh ,Đầu tư công xây dựng,CII
14,CMG,CTCP Tập đoàn Công nghệ CMC,Công nghệ,"CMC Corp, Tập đoàn CMC, CMG"
15,CRE,CTCP Bất động sản Thế Kỷ,BĐS,"Cen Land, Cenhomes, CRE"
16,CTD,CTCP Xây dựng Coteccons,Đầu tư công xây dựng,"Coteccons, CTD"
17,CTG,Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng,"Vietinbank, CTG"
18,CTR,Tổng Công ty cổ phần Công trình Viettel ,Viễn Thông ,"Viettel, CTR"
19,CTS,CTCP Chứng khoán Ngân hàng Công thương Việt Nam,Chứng khoán,"Vietinbank Securities, CTS"
20,DBC,CTCP Tập đoàn Dabaco Việt Nam,Nông nghiệp ,"Dabaco, DBC"
21,DCM,CTCP Phân bón Dầu khí Cà Mau,Phân bón,"PVCFC, DCM"
22,DGC,CTCP Tập đoàn Hóa chất Đức Giang,Hóa chất,"Hóa chất Đức Giang, DGC"
23,DGW,CTCP Thế Giới Số,Bán lẻ,"Digiworld Corporation, DGW"
24,DHC,CTCP Đông Hải Bến Tre,Tiêu dùng khác ,"Dohaco, Đông Hải Bến Tre, DHC"
25,DIG,Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng ,BĐS,"DIC Corp, DIG"
26,DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,Phân bón,"PVFCCo, DPM, Đạm Phú Mỹ"
27,DSE,CTCP Chứng khoán DNSE,Chứng khoán,"DNSE, DSE"
28,DXG,CTCP Tập đoàn Đất Xanh,BĐS,"Đất Xanh, DXG"
29,DXS,CTCP Dịch vụ Bất động sản Đất Xanh,BĐS,"Đất Xanh Services, DXS"
30,EIB,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,Ngân hàng,"EIB, Eximbank"
31,EVF,Công ty Tài chính Cổ phần Điện lực,Điện ,"EVN Finance, EVF"
32,FPT,Công ty Cổ phần FPT,Công nghệ,FPT
33,FRT,CTCP Bán lẻ Kỹ thuật số FPT,Bán lẻ,"FRT, FPT Retail"
34,FTS,CTCP Chứng khoán FPT,Chứng khoán,"FTS, Chứng khoán FPT"
35,GAS,Tổng Công ty Khí Việt Nam - CTCP,Dầu khí,"GAS, PetroVietnam Gas, PV Gas"
36,GEX,CTCP Tập đoàn GELEX,Điện,"GEX, GELEX"
37,GMD,CTCP Gemadept,Vận tải biển,"Gemadept, GMD"
38,GVR,Tập đoàn Công nghiệp Cao su Việt Nam - Công ty Cổ phần,Cao su,GVR
39,HAG,CTCP Hoàng Anh Gia Lai,Nông nghiệp,"HAG, Hoàng Anh Gia Lai"
40,HCM,CTCP Chứng khoán Thành phố Hồ Chí Minh,Chứng khoán,"HCM, Chứng khoán Hồ Chí Minh"
41,HDB,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ngân hàng,"HDB, HDBank"
42,HDC,CTCP Phát triển Nhà Bà Rịa - Vũng Tàu,BĐS,"HDC, Nhà Bà Rịa - Vũng Tàu"
43,HDG,CTCP Tập đoàn Hà Đô,BĐS,"HDG, Hà Đô Group"
44,HHV,Công ty cổ phần Đầu tư hạ tầng giao thông Đèo Cả,Đầu tư công xây dựng,"HHV, Đèo Cả"
45,HPG,Công ty cổ phần Tập đoàn Hòa Phát,Thép,Hòa Phát Group
46,HSG,Công ty cổ phần Tập đoàn Hoa Sen,Thép,"HSG, Hoa Sen Group"
47,HT1,Công ty cổ phần Xi Măng Vicem Hà Tiên,Vật liệu xây dựng,"HT1, Xi Măng Vicem Hà Tiên"
48,IMP,Công ty cổ phần Dược phẩm Imexpharm,Dược ,"IMP, Dược phẩm Imexpharm"
49,KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc - Công ty cổ phần,BĐS,"KBC, Kinh Bắc City"
50,KDC,Công ty cổ phần Tập đoàn KIDO,Thực phẩm và đồ uống,"KDC, KIDO Group"
51,KDH,CTCP Đầu tư và Kinh doanh nhà Khang Điền,BĐS,"KDH, Khang Điền"
52,KOS,CTCP Kosy,BĐS,"KOS, Kosy, CTCP Kosy"
53,LPB,Ngân hàng TMCP Lộc Phát Việt Nam,Ngân hàng,"LPB, Ngân hàng Lộc Phát, Lộc Phát Bank"
54,MBB,Ngân hàng TMCP Quân Đội,Ngân hàng,"MBB, MB Bank, Ngân hàng Quân đội"
55,MSB,Ngân hàng TMCP Hàng Hải Việt Nam,Ngân hàng,"MSB, Hàng Hải Việt Nam"
56,MSN,CTCP Tập đoàn Masan,Thực phẩm và đồ uống,"MSN, Masan, Tập đoàn Masan"
